"filename", "language", "Markdown", "XML", "TypeScript JSX", "TypeScript", "JSON", "CSS", "C#", "JSON with Comments", "HTML", "JavaScript", "MS SQL", "YAML", "comment", "blank", "total"
"c:\utv\Henry\MappingTool\IntegrationMapper.Tests\Services\LocalFileStorageServiceTests.cs", "C#", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 7, 12, 65
"c:\utv\Henry\MappingTool\IntegrationMapper.Tests\Services\XsdSchemaParserServiceTests.cs", "C#", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 4, 6, 45
"c:\utv\Henry\MappingTool\IntegrationMapper.Tests\UnitTest1.cs", "C#", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
"c:\utv\Henry\MappingTool\IntegrationMapper.Web\README.md", "Markdown", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 74
"c:\utv\Henry\MappingTool\IntegrationMapper.Web\eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 2, 24
"c:\utv\Henry\MappingTool\IntegrationMapper.Web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"c:\utv\Henry\MappingTool\IntegrationMapper.Web\package-lock.json", "JSON", 0, 0, 0, 0, 3829, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3830
"c:\utv\Henry\MappingTool\IntegrationMapper.Web\package.json", "JSON", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 1, 37
"c:\utv\Henry\MappingTool\IntegrationMapper.Web\public\vite.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\utv\Henry\MappingTool\IntegrationMapper.Web\src\App.css", "CSS", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 6, 43
"c:\utv\Henry\MappingTool\IntegrationMapper.Web\src\App.tsx", "TypeScript JSX", 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 123
"c:\utv\Henry\MappingTool\IntegrationMapper.Web\src\assets\react.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\utv\Henry\MappingTool\IntegrationMapper.Web\src\auth\AuthProvider.tsx", "TypeScript JSX", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 105
"c:\utv\Henry\MappingTool\IntegrationMapper.Web\src\auth\authConfig.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\utv\Henry\MappingTool\IntegrationMapper.Web\src\components\Layout\CodeViewerModal.tsx", "TypeScript JSX", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 57
"c:\utv\Henry\MappingTool\IntegrationMapper.Web\src\components\Layout\NavBar.tsx", "TypeScript JSX", 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 85
"c:\utv\Henry\MappingTool\IntegrationMapper.Web\src\components\MappingCanvas\MappingCanvas.tsx", "TypeScript JSX", 0, 0, 238, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32, 274
"c:\utv\Henry\MappingTool\IntegrationMapper.Web\src\components\Projects\CreateProfileModal.tsx", "TypeScript JSX", 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 136
"c:\utv\Henry\MappingTool\IntegrationMapper.Web\src\components\Projects\CreateProjectModal.tsx", "TypeScript JSX", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 74
"c:\utv\Henry\MappingTool\IntegrationMapper.Web\src\components\Projects\ProjectDetail.tsx", "TypeScript JSX", 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 95
"c:\utv\Henry\MappingTool\IntegrationMapper.Web\src\components\Projects\ProjectList.tsx", "TypeScript JSX", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 47
"c:\utv\Henry\MappingTool\IntegrationMapper.Web\src\components\Schemas\DataObjectList.tsx", "TypeScript JSX", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 59
"c:\utv\Henry\MappingTool\IntegrationMapper.Web\src\components\Schemas\SchemaUpload.tsx", "TypeScript JSX", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 60
"c:\utv\Henry\MappingTool\IntegrationMapper.Web\src\components\Systems\AddSystemModal.tsx", "TypeScript JSX", 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 76
"c:\utv\Henry\MappingTool\IntegrationMapper.Web\src\components\Systems\SchemaViewerModal.tsx", "TypeScript JSX", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 70
